file_name,openssl_101f,gmssl,sim_value
rc2ofb64.c_rc2cfb64.c,RC2_ofb64_encrypt,RC2_cfb64_encrypt,0.9479437218748085
ec2_mult.c_ec2_mult.c,ec_GF2m_montgomery_point_multiply,ec_GF2m_montgomery_point_multiply,0.9477737510832536
ts_rsp_sign.c_ts_rsp_sign.c,TS_RESP_sign,ts_RESP_sign,0.9473738803004801
a_int.c_a_int.c,d2i_ASN1_UINTEGER,d2i_ASN1_UINTEGER,0.9472783712196946
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_dbl,ec_GFp_simple_is_on_curve,0.9471160402331404
ocsp_prn.c_ocsp_prn.c,OCSP_REQUEST_print,OCSP_REQUEST_print,0.9467509020230633
speed.c_speed.c,do_multi,do_multi,0.9467103078196801
dh_key.c_dh_key.c,generate_key,generate_key,0.9463073627729721
bn_mont.c_bn_mont.c,BN_from_montgomery_word,BN_from_montgomery_word,0.9459433608878223
ocsp_srv.c_ocsp_srv.c,OCSP_basic_add1_status,OCSP_basic_add1_status,0.945668784002718
ede_cbcm_enc.c_des_enc.c,DES_ede3_cbcm_encrypt,DES_ncbc_encrypt,0.9450845435557864
apps.c_apps.c,save_serial,save_serial,0.9447336892990271
x_x509.c_x_x509.c,x509_cb,x509_cb,0.9446415255030172
v3_prn.c_v3_prn.c,X509V3_EXT_print,X509V3_EXT_print,0.9445000459015986
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_point_get_affine_coordinates,ec_GFp_simple_point_get_affine_coordinates,0.9439893680158546
tasn_fre.c_tasn_fre.c,ASN1_primitive_free,asn1_primitive_free,0.9439680335988131
s3_cbc.c_ssl3_record.c,tls1_cbc_remove_padding,tls1_cbc_remove_padding,0.9429833689014038
ec2_smpl.c_ecp_smpl.c,ec_GF2m_simple_is_on_curve,ec_GFp_simple_cmp,0.9427767628300305
ecp_smpl.c_ecp_oct.c,ec_GFp_simple_point_get_affine_coordinates,ec_GFp_simple_set_compressed_coordinates,0.9425225298794311
tasn_enc.c_tasn_enc.c,asn1_ex_i2c,asn1_ex_i2c,0.9425039147112614
cfb64ede.c_cfb64ede.c,DES_ede3_cfb_encrypt,DES_ede3_cfb_encrypt,0.9417773673733355
bn_nist.c_bn_sm2p256.c,BN_nist_mod_384,BN_sm2_mod_256,0.9415042693818383
cms_smime.c_cms_smime.c,CMS_sign_receipt,CMS_sign_receipt,0.9413752320670266
bio_enc.c_bio_enc.c,enc_ctrl,enc_ctrl,0.941301569293595
bn_nist.c_bn_nist.c,BN_nist_mod_384,BN_nist_mod_256,0.9402038623778296
dsa_ameth.c_dsa_ameth.c,dsa_pub_decode,dsa_pub_decode,0.9397020404978337
ocsp.c_ocsp.c,query_responder,query_responder,0.9396390768567846
a_bitstr.c_a_bitstr.c,c2i_ASN1_BIT_STRING,c2i_ASN1_BIT_STRING,0.93945011483412
tasn_prn.c_tasn_prn.c,asn1_primitive_print,asn1_primitive_print,0.9394046203558504
passwd.c_passwd.c,do_passwd,do_passwd,0.9390783944003309
v3_cpols.c_v3_cpols.c,policy_section,policy_section,0.9388832727010086
ec_mult.c_ec_mult.c,ec_wNAF_mul,ec_wNAF_mul,0.9387702548498287
ca.c_ca.c,certify_spkac,certify_spkac,0.9387398535824316
srp_vfy.c_srp_vfy.c,SRP_VBASE_init,SRP_VBASE_init,0.9376300719317862
sess_id.c_sess_id.c,sess_id_main,sess_id_main,0.937501802796108
ecs_ossl.c_sm2_sign.c,ecdsa_do_verify,sm2_do_verify,0.9371071755786169
ecp_mont.c_ecp_mont.c,ec_GFp_mont_group_set_curve,ec_GFp_mont_group_set_curve,0.9370500093902
v3_sxnet.c_v3_sxnet.c,SXNET_add_id_INTEGER,SXNET_add_id_INTEGER,0.9369350179991982
rsa_pmeth.c_rsa_pmeth.c,pkey_rsa_verifyrecover,pkey_rsa_verifyrecover,0.9368664712882369
pem_info.c_pem_info.c,PEM_X509_INFO_read_bio,PEM_X509_INFO_read_bio,0.9367286258530769
xcbc_enc.c_xcbc_enc.c,DES_xcbc_encrypt,DES_xcbc_encrypt,0.9366837987509273
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_is_on_curve,ec_GFp_simple_dbl,0.9364328810597038
ocsp.c_ocsp.c,make_ocsp_response,make_ocsp_response,0.9362164737412881
a_bitstr.c_a_int.c,c2i_ASN1_BIT_STRING,d2i_ASN1_UINTEGER,0.9361136209162186
des_enc.c_des_enc.c,DES_ncbc_encrypt,DES_ncbc_encrypt,0.935990657729207
bn_exp.c_bn_exp2.c,BN_mod_exp_mont,BN_mod_exp2_mont,0.9356986415475745
rc2cfb64.c_rc2ofb64.c,RC2_cfb64_encrypt,RC2_ofb64_encrypt,0.935610964967452
ofb64ede.c_ofb64enc.c,DES_ede3_ofb64_encrypt,DES_ofb64_encrypt,0.9355005253148421
a_object.c_a_object.c,c2i_ASN1_OBJECT,c2i_ASN1_OBJECT,0.934909985899463
a_int.c_a_int.c,c2i_ASN1_INTEGER,d2i_ASN1_UINTEGER,0.9348904692136724
bn_print.c_bn_print.c,BN_dec2bn,BN_dec2bn,0.9347782087930376
ts_rsp_sign.c_ts_rsp_sign.c,TS_RESP_set_genTime_with_precision,TS_RESP_set_genTime_with_precision,0.9341740139469865
bio_ndef.c_bio_ndef.c,BIO_new_NDEF,BIO_new_NDEF,0.9341501733617539
ts_conf.c_ts_conf.c,TS_CONF_set_policies,TS_CONF_set_policies,0.9330154630201586
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_add,ec_GFp_simple_cmp,0.9328929309156904
cbc_enc.c_cbc_enc.c,DES_cbc_encrypt,DES_cbc_encrypt,0.9327226809770799
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_add,ec_GFp_simple_is_on_curve,0.9325282435598554
pk7_smime.c_pk7_smime.c,PKCS7_get0_signers,PKCS7_get0_signers,0.9323678626908205
cfb64enc.c_cfb64enc.c,DES_cfb64_encrypt,DES_cfb64_encrypt,0.9317385019998525
txt_db.c_txt_db.c,TXT_DB_read,TXT_DB_read,0.9308348917495641
